platform,zone_id,zone_name,zone_type,store,product_id,product_name,current_price,original_price,discount,delivery_fee,delivery_time_min,delivery_time_max,rating
ubereats,pedregal,Pedregal,premium,mcdonalds-pedregal,coca_cola,Coca-Cola mediana,65.0,65.0,,,,,4.4
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,papas_grandes,Papas grandes,69.0,69.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.6
ubereats,santa_fe,Santa Fe,premium,mcdonalds-samara,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.6
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,179.0,179.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,papas_grandes,Papas grandes,79.0,79.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,mcnuggets_6,McNuggets de Pollo 6 pzas,109.0,109.0,,,,,4.5
ubereats,satelite,Ciudad Satélite,premium,mcdonalds-satelite,coca_cola,Coca-Cola mediana,65.0,65.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,175.0,175.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,papas_grandes,Papas grandes,75.0,75.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,mcnuggets_6,McNuggets de Pollo 6 pzas,105.0,105.0,,,,,4.5
ubereats,del_valle,Del Valle,media,mcdonalds-parque-hundido,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.5
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,179.0,179.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,papas_grandes,Papas grandes,79.0,79.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,mcnuggets_6,McNuggets de Pollo 6 pzas,109.0,109.0,,,,,4.6
ubereats,coyoacan,Coyoacán,media,mcdonalds-division-del-norte,coca_cola,Coca-Cola mediana,65.0,65.0,,,,,4.6
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,papas_grandes,Papas grandes,69.0,69.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.5
ubereats,tlalpan,Tlalpan,media,mcdonalds-gran-sur,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169.0,169.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,papas_grandes,Papas grandes,75.0,75.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,mcpollo,McTrío mediano McPollo,99.0,99.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,mcnuggets_6,McNuggets de Pollo 6 pzas,99.0,99.0,,,,,4.5
ubereats,narvarte,Narvarte,media,mcdonalds-cuauhtemoc-esperanza,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169.0,169.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,mcnuggets_10,McTrio mediano McNuggets 10 pzas,139.0,139.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,papas_grandes,Papas grandes,75.0,75.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,mcnuggets_6,McNuggets de Pollo 6 pzas,99.0,99.0,,,,,4.5
ubereats,napoles,Nápoles,media,mcdonalds-plaza-patriotismo,coca_cola,Coca-Cola mediana,59.0,59.0,,,,,4.5
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,papas_grandes,Papas grandes,69.0,69.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,mcpollo,McPollo o Doble con Queso,129.0,129.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,mcnuggets_6,McNuggets de Pollo 6 pzas,89.0,89.0,,,,,4.6
ubereats,mixcoac,Mixcoac,media,mcdonalds-torre-manacars,coca_cola,Coca-Cola mediana,55.0,55.0,,,,,4.6
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,big_mac,Home Office con Big Mac,99.0,99.0,,,,,4.5
ubereats,azcapotzalco,Azcapotzalco,media,mcdonalds-walmart-azcapotzalco,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,159.0,159.0,,,,,4.5
