platform,zone_id,zone_name,zone_type,store,product_id,product_name,current_price,original_price,discount,delivery_fee,delivery_time_min,delivery_time_max,rating
rappi,polanco,Polanco,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,,,,
rappi,polanco,Polanco,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,,,,
rappi,polanco,Polanco,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,,,,
rappi,polanco,Polanco,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,,,,
rappi,polanco,Polanco,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,,,,
rappi,polanco,Polanco,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,,,,
rappi,polanco,Polanco,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,,,,
rappi,condesa,Condesa,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,condesa,Condesa,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,roma_norte,Roma Norte,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,lomas,Lomas de Chapultepec,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,interlomas,Interlomas,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,pedregal,Pedregal,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,papas_grandes,Papas grandes,75,75,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,mcpollo,McTrío mediano McPollo,99,115,-14%,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,cuarto_libra,McTrío mediano Cuarto de Libra con Queso,169,169,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,mcnuggets_6,McTrío mediano McNuggets de Pollo 6 pzas,125,125,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,mcnuggets_10,McTrio mediano McNuggets 10 pzas,169,169,,0.0,14,,
rappi,santa_fe,Santa Fe,premium,mcdonalds,coca_cola,Coca-Cola mediana,59,59,,0.0,14,,
rappi,satelite,Ciudad Satélite,premium,mcdonalds,big_mac,McTrío mediano Big Mac,159,159,,0.0,14,,
