platform,address_id,address_name,address_type,product_id,product_name,restaurant,product_price,delivery_fee,service_fee,total_price,delivery_time_min,delivery_time_max,delivery_time_avg,discount_text,available,scrape_timestamp
rappi,iztapalapa,Iztapalapa,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:25:55.402915+00:00
rappi,iztapalapa,Iztapalapa,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:26:09.894300+00:00
rappi,naucalpan,Naucalpan,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:26:27.975233+00:00
rappi,naucalpan,Naucalpan,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:26:42.498942+00:00
rappi,naucalpan,Naucalpan,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:26:57.040079+00:00
rappi,naucalpan,Naucalpan,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:27:11.507414+00:00
rappi,naucalpan,Naucalpan,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:27:26.030446+00:00
rappi,ecatepec,Ecatepec,popular,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:27:43.669270+00:00
rappi,ecatepec,Ecatepec,popular,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:27:58.261274+00:00
rappi,ecatepec,Ecatepec,popular,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:28:12.937506+00:00
rappi,ecatepec,Ecatepec,popular,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:28:27.632452+00:00
rappi,ecatepec,Ecatepec,popular,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:28:42.264673+00:00
ubereats,polanco,Polanco,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:29:17.449165+00:00
ubereats,polanco,Polanco,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:29:47.323640+00:00
ubereats,polanco,Polanco,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:30:18.030303+00:00
ubereats,polanco,Polanco,premium,coca_600,Coca-Cola 600ml,McDonald's,55.0,,,55.0,,,,,True,2026-03-27T14:30:48.534511+00:00
ubereats,polanco,Polanco,premium,agua_1l,Agua 1L,McDonald's,35.0,,,35.0,,,,,True,2026-03-27T14:31:18.332371+00:00
ubereats,condesa,Condesa,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:31:43.169914+00:00
